Kinben_PN,Category,Subcategory,Value,Package,Manufacturer,Manufacturer_PN,Description,Voltage_Rating,Current_Rating,Tolerance,Mounting,Preferred_Supplier,Mouser_PN,DigiKey_PN,Unit_Cost,Stock_Level,Symbol_File,Footprint_File,3D_Model_File,Datasheet_URL,Status,Created_Date,Notes
TRA-BJT-019,transistors,BJT,,SOT-23,,MMBT3904,,,,,,ON Semi,,,,,,,,,Active,,
TRA-FET-020,transistors,FET,,SOT-23,,2N7002K,,,,,,Nexperia,,,,,,,,,Active,,
TRA-MOS-021,transistors,MOS,,SOT-23,,BSS138,,,,,,Fairchild,,,,,,,,,Active,,
